City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Port-Gentil,GA,2022-04-24 18:59:09,-0.7193,8.7815,78.76,89,20,2.3
122,Aklavik,CA,2022-04-24 18:59:09,68.2191,-135.0107,30.2,59,20,3.44
123,Samarai,PG,2022-04-24 18:59:10,-10.6167,150.6667,82.4,76,100,12.39
124,San Jose,US,2022-04-24 18:59:10,37.3394,-121.895,75.45,52,0,4.0
125,Amazar,RU,2022-04-24 18:59:11,53.858,120.875,30.11,82,100,5.08
126,Vao,NC,2022-04-24 18:59:11,-22.6667,167.4833,74.21,64,100,23.8
127,Keningau,MY,2022-04-24 18:59:12,5.3378,116.1602,72.61,99,69,1.21
128,Marsh Harbour,BS,2022-04-24 18:59:12,26.5412,-77.0636,76.05,68,0,16.08
129,Apac,UG,2022-04-24 18:59:12,1.9756,32.5386,66.36,97,100,3.94
130,Saskylakh,RU,2022-04-24 18:59:13,71.9167,114.0833,-7.94,100,85,2.46
131,Broome,US,2022-04-24 18:59:13,42.2506,-75.833,78.69,45,9,5.01
132,Namwala,ZM,2022-04-24 18:59:14,-15.7504,26.4384,65.84,74,1,3.09
133,Longyearbyen,SJ,2022-04-24 18:59:14,78.2186,15.6401,10.24,56,20,9.22
134,Bluff,NZ,2022-04-24 18:59:15,-46.6,168.3333,53.8,84,98,20.04
135,Manjacaze,MZ,2022-04-24 18:59:15,-24.7117,33.8828,69.57,96,0,5.19
136,Ancud,CL,2022-04-24 19:00:16,-41.8697,-73.8203,46.22,76,100,24.76
137,Atuona,PF,2022-04-24 19:00:16,-9.8,-139.0333,78.98,76,8,15.12
138,Mehamn,NO,2022-04-24 19:00:17,71.0357,27.8492,35.82,78,100,13.8
139,Carnarvon,AU,2022-04-24 19:00:17,-24.8667,113.6333,73.13,62,3,3.94
140,Teya,RU,2022-04-24 19:00:18,60.3778,92.6267,25.97,97,100,4.09
141,Schwalmstadt,DE,2022-04-24 19:00:18,50.9333,9.2167,50.76,91,95,2.86
142,Upernavik,GL,2022-04-24 19:00:19,72.7868,-56.1549,10.94,84,16,10.89
143,Maragogi,BR,2022-04-24 19:00:20,-9.0122,-35.2225,81.61,73,100,8.61
144,Kahului,US,2022-04-24 19:00:20,20.8947,-156.47,76.84,82,27,8.99
145,Caravelas,BR,2022-04-24 19:00:21,-17.7125,-39.2481,83.84,70,5,8.63
146,Arraial Do Cabo,BR,2022-04-24 18:56:55,-22.9661,-42.0278,80.56,74,20,11.5
147,Magadan,RU,2022-04-24 19:00:22,59.5667,150.8,19.26,81,32,7.49
148,Katsuura,JP,2022-04-24 19:00:22,35.1333,140.3,61.39,90,11,4.81
149,Price,US,2022-04-24 19:00:22,39.5994,-110.8107,48.11,27,87,1.63
150,Tahe,CN,2022-04-24 19:00:23,52.3333,124.7333,27.86,53,93,2.53
151,Nisia Floresta,BR,2022-04-24 19:00:24,-6.0911,-35.2086,83.21,80,83,10.89
152,Tasiilaq,GL,2022-04-24 19:00:24,65.6145,-37.6368,39.36,70,100,3.91
153,Hasaki,JP,2022-04-24 19:00:25,35.7333,140.8333,57.6,90,6,3.83
154,Darhan,MN,2022-04-24 19:00:25,49.4867,105.9228,34.39,44,100,21.27
155,Cidreira,BR,2022-04-24 18:57:17,-30.1811,-50.2056,70.59,73,4,17.54
156,Hare Bay,CA,2022-04-24 19:00:26,48.8499,-54.0148,36.75,98,100,15.39
157,Domoni,KM,2022-04-24 19:00:26,-12.2569,44.5319,79.72,87,100,6.73
158,Dunmore Town,BS,2022-04-24 19:00:27,25.5,-76.65,75.74,72,2,17.85
159,Cedar City,US,2022-04-24 18:59:22,37.6775,-113.0619,49.39,32,0,12.5
160,Saint-Philippe,RE,2022-04-24 19:00:28,-21.3585,55.7679,76.59,77,100,13.69
161,Anadyr,RU,2022-04-24 19:00:28,64.75,177.4833,8.29,98,71,4.12
162,Talnakh,RU,2022-04-24 19:00:28,69.4865,88.3972,-6.74,100,89,2.3
163,Kashi,CN,2022-04-24 19:00:29,39.4547,75.9797,70.27,22,100,12.57
164,Husavik,IS,2022-04-24 19:00:30,66.0449,-17.3389,43.12,83,100,2.21
165,Raudeberg,NO,2022-04-24 19:00:30,61.9875,5.1352,47.07,85,35,15.77
166,Hami,CN,2022-04-24 19:00:30,42.8,93.45,64.65,35,20,17.9
167,Kamaishi,JP,2022-04-24 19:00:31,39.2667,141.8833,53.55,84,2,6.35
168,Tuatapere,NZ,2022-04-24 19:00:31,-46.1333,167.6833,52.21,91,100,6.64
169,Shimoda,JP,2022-04-24 19:00:32,34.6667,138.95,59.11,91,37,2.84
170,Piacabucu,BR,2022-04-24 19:00:32,-10.4056,-36.4344,82.58,67,1,10.04
171,Namatanai,PG,2022-04-24 19:00:33,-3.6667,152.4333,78.01,75,91,3.58
172,Chuy,UY,2022-04-24 19:00:33,-33.6971,-53.4616,74.98,34,0,10.02
173,San Juan,AR,2022-04-24 19:00:34,-31.5375,-68.5364,95.5,5,0,22.01
174,Hampton,US,2022-04-24 19:00:34,37.0299,-76.3452,89.62,44,6,9.48
175,Whitehorse,CA,2022-04-24 19:00:34,60.7161,-135.0538,44.1,55,98,8.01
176,Gara,HU,2022-04-24 19:00:35,46.0319,19.0428,53.83,70,100,6.73
177,Ilulissat,GL,2022-04-24 19:00:35,69.2167,-51.1,30.22,80,75,1.14
178,Georgetown,MY,2022-04-24 18:57:04,5.4112,100.3354,82.33,98,40,5.01
179,Guerrero Negro,MX,2022-04-24 19:00:36,27.9769,-114.0611,75.34,37,0,10.2
180,Japura,ID,2022-04-24 19:00:37,-0.3167,102.35,74.5,99,100,0.87
181,Agadir,MA,2022-04-24 18:58:18,30.4202,-9.5982,66.65,64,0,17.92
182,Lewistown,US,2022-04-24 19:01:38,40.5992,-77.5714,87.64,67,0,6.91
183,Mildura,AU,2022-04-24 19:01:38,-34.2,142.15,60.49,56,100,10.98
184,Venice,US,2022-04-24 18:58:21,27.0998,-82.4543,88.27,59,40,3.0
185,Rawson,AR,2022-04-24 19:00:57,-43.3002,-65.1023,68.79,36,92,38.7
186,Tukrah,LY,2022-04-24 19:01:39,32.5341,20.5791,61.52,77,7,11.16
187,Tangjiazhuang,CN,2022-04-24 19:01:39,39.7333,118.45,55.6,72,100,5.55
188,Kodiak,US,2022-04-24 19:01:40,57.79,-152.4072,42.28,80,32,5.75
189,Canguaretama,BR,2022-04-24 19:01:40,-6.38,-35.1289,81.64,77,45,13.0
190,Sorland,NO,2022-04-24 19:01:41,67.667,12.6934,42.66,90,100,11.63
191,Moss Vale,AU,2022-04-24 19:01:41,-34.55,150.3833,54.16,95,100,1.54
192,Khed Brahma,IN,2022-04-24 19:01:41,24.0333,73.05,84.51,15,0,5.01
193,Aripuana,BR,2022-04-24 19:01:42,-9.1667,-60.6333,87.15,60,82,2.01
194,Dikson,RU,2022-04-24 19:01:42,73.5069,80.5464,5.23,96,96,12.57
195,Narsaq,GL,2022-04-24 19:01:43,60.9167,-46.05,50.22,79,100,3.29
196,Pisco,PE,2022-04-24 19:01:43,-13.7,-76.2167,69.03,85,92,10.51
197,Xiaolingwei,CN,2022-04-24 19:01:44,32.0333,118.85,64.42,92,100,10.83
198,Neryungri,RU,2022-04-24 19:01:44,56.6709,124.6491,3.24,94,75,2.89
199,Muli,MV,2022-04-24 19:01:45,2.9167,73.5667,84.58,67,99,4.83
200,Kuah,MY,2022-04-24 19:01:45,6.3265,99.8432,83.68,77,100,8.57
201,Urucui,BR,2022-04-24 19:01:46,-7.2294,-44.5561,84.81,65,94,3.27
202,Codrington,AU,2022-04-24 19:01:46,-38.2667,141.9667,47.68,92,99,6.67
203,Vaitape,PF,2022-04-24 19:01:46,-16.5167,-151.75,81.18,70,19,6.49
204,Chokurdakh,RU,2022-04-24 19:01:47,70.6333,147.9167,-13.67,100,95,3.71
205,Coracora,PE,2022-04-24 19:01:47,-15.0333,-73.7833,62.89,51,32,11.21
206,Necochea,AR,2022-04-24 19:01:48,-38.5473,-58.7368,74.03,50,38,14.25
207,Lorengau,PG,2022-04-24 19:01:20,-2.0226,147.2712,80.78,81,64,5.44
208,Victoria,HK,2022-04-24 18:59:23,22.2855,114.1577,81.32,86,7,4.0
209,Ahipara,NZ,2022-04-24 19:01:49,-35.1667,173.1667,61.66,84,97,10.74
210,Gizo,SB,2022-04-24 19:01:49,-8.103,156.8419,81.12,77,29,4.0
211,Nelson Bay,AU,2022-04-24 19:00:49,-32.7167,152.15,59.0,97,100,1.5
212,Maceio,BR,2022-04-24 18:58:04,-9.6658,-35.7353,85.44,61,40,9.22
213,Itarema,BR,2022-04-24 19:01:50,-2.9248,-39.9167,80.78,82,95,5.53
214,Antofagasta,CL,2022-04-24 18:57:17,-23.65,-70.4,67.28,69,6,6.4
215,Laje,BR,2022-04-24 19:01:51,-10.1833,-40.9667,85.17,45,26,15.28
216,Dudinka,RU,2022-04-24 19:01:51,69.4058,86.1778,-12.17,100,100,2.91
217,Uzhur,RU,2022-04-24 19:01:51,55.3036,89.8339,26.22,76,24,5.53
218,Altagracia De Orituco,VE,2022-04-24 19:01:52,9.8601,-66.3814,90.23,37,89,7.38
219,Walvis Bay,NA,2022-04-24 19:01:52,-22.9575,14.5053,58.08,66,0,18.61
220,Ponta Do Sol,PT,2022-04-24 19:01:53,32.6667,-17.1,66.7,73,80,7.34
221,Khovu-Aksy,RU,2022-04-24 19:01:53,51.1333,93.6,20.59,66,99,1.74
222,Dezful,IR,2022-04-24 19:01:54,32.3811,48.4058,79.14,13,67,5.39
223,Noumea,NC,2022-04-24 19:01:54,-22.2763,166.4572,73.99,99,100,16.17
224,Vigrestad,NO,2022-04-24 19:01:55,58.5667,5.7,49.59,75,5,3.62
225,Cayenne,GF,2022-04-24 19:01:55,4.9333,-52.3333,84.24,1,75,11.5
226,Grand Gaube,MU,2022-04-24 19:01:56,-20.0064,57.6608,73.38,79,100,5.01
227,Sitka,US,2022-04-24 19:01:56,57.0531,-135.33,45.28,86,100,3.15
228,Pasighat,IN,2022-04-24 19:02:57,28.0667,95.3333,67.15,93,57,4.85
229,Parbhani,IN,2022-04-24 19:02:57,19.2667,76.7833,92.88,26,7,5.93
230,San Nicolas,PH,2022-04-24 19:02:57,18.1725,120.5953,81.01,73,5,5.08
231,Clarksburg,US,2022-04-24 19:02:58,39.2807,-80.3445,86.31,34,0,11.5
232,Monster,NL,2022-04-24 19:02:58,52.0258,4.175,55.98,72,0,13.8
233,Snezhnogorsk,RU,2022-04-24 19:02:59,69.1933,33.2531,38.98,85,100,10.25
234,Te Anau,NZ,2022-04-24 19:02:59,-45.4167,167.7167,45.82,87,55,1.25
235,Lata,PT,2022-04-24 19:03:00,40.1629,-8.3327,55.2,82,90,3.69
236,Komsomolskoye,RU,2022-04-24 19:03:00,55.2567,47.5461,53.28,71,100,5.7
237,Bambous Virieux,MU,2022-04-24 19:03:00,-20.3428,57.7575,73.22,71,100,19.26
238,Yuci,CN,2022-04-24 19:03:01,37.6803,112.7319,55.15,50,0,2.24
239,Teahupoo,PF,2022-04-24 19:03:01,-17.8333,-149.2667,76.96,72,79,5.73
240,Palaikastron,GR,2022-04-24 19:03:02,35.2,26.25,62.11,80,2,6.62
241,Monterey,US,2022-04-24 19:03:02,36.2505,-121.2516,70.18,26,6,4.0
242,Dwarka,IN,2022-04-24 19:03:03,22.2394,68.9678,81.88,73,0,11.59
243,Pangnirtung,CA,2022-04-24 19:03:03,66.1451,-65.7125,24.93,76,100,3.91
244,San Carlos De Bariloche,AR,2022-04-24 19:00:33,-41.1456,-71.3082,38.71,91,100,13.82
245,Teknaf,BD,2022-04-24 19:01:58,20.8624,92.3058,79.11,89,9,2.44
246,Bathsheba,BB,2022-04-24 19:03:04,13.2167,-59.5167,80.64,67,18,15.01
247,Russell,US,2022-04-24 19:03:05,32.3502,-85.1999,81.68,47,40,0.0
248,Rundu,NA,2022-04-24 19:03:05,-17.9333,19.7667,68.9,36,22,3.49
249,Zimovniki,RU,2022-04-24 19:03:05,47.1483,42.4633,56.44,71,100,11.32
250,Abadiania,BR,2022-04-24 18:59:51,-16.2042,-48.7069,85.12,39,23,6.38
251,Rancho Palos Verdes,US,2022-04-24 19:00:04,33.7445,-118.387,85.95,30,0,5.41
252,San Quintin,MX,2022-04-24 19:03:06,30.4833,-115.95,70.25,47,0,10.58
253,Manakara,MG,2022-04-24 19:03:07,-22.1333,48.0167,71.19,86,100,3.49
