City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Santa Rosa,PH,14.3122,121.1114,84.18,78,89,10.45,overcast clouds
238,Taoudenni,ML,22.6783,-3.9836,87.37,9,0,7.25,clear sky
239,Olafsvik,IS,64.8945,-23.7142,44.64,88,47,11.14,scattered clouds
240,Maceio,BR,-9.6658,-35.7353,78.24,83,40,3.44,scattered clouds
241,Manono,CD,-7.3,27.4167,67.87,93,57,4.38,broken clouds
242,Bengkulu,ID,-3.8004,102.2655,77.05,86,100,4.68,overcast clouds
243,Beringovskiy,RU,63.05,179.3167,21.56,94,89,12.68,overcast clouds
244,Mehamn,NO,71.0357,27.8492,24.75,63,75,24.16,broken clouds
245,Nouadhibou,MR,20.931,-17.0347,64.38,82,5,16.11,clear sky
246,Hervey Bay,AU,-25.2986,152.8535,72.01,94,33,4,scattered clouds
247,Arlit,NE,18.7369,7.3853,81.25,7,3,9.71,clear sky
248,Airai,TL,-8.9266,125.4092,56.88,84,87,2.55,overcast clouds
249,Shetpe,KZ,44.1667,52.1167,66.4,40,14,7.94,few clouds
250,Vila Velha,BR,-20.3297,-40.2925,80.55,86,0,8.05,clear sky
251,Sterling,US,39.0062,-77.4286,60.94,28,20,15.99,few clouds
252,Atambua,ID,-9.1061,124.8925,70.56,88,37,4.27,scattered clouds
253,Araouane,ML,18.9048,-3.5265,79.93,9,0,4.07,clear sky
254,Severo-Kurilsk,RU,50.6789,156.125,34,94,100,14.63,overcast clouds
255,Port Elizabeth,ZA,-33.918,25.5701,60.31,78,0,1.99,clear sky
256,Raga,SS,8.4596,25.678,80.65,57,100,6.11,overcast clouds
257,Jiangyou,CN,31.7667,104.7167,64.76,75,100,2.53,overcast clouds
258,Pak Phanang,TH,8.3511,100.202,81.05,78,75,4.7,broken clouds
259,Evanston,US,42.0411,-87.6901,50,71,100,10.36,overcast clouds
260,Birao,CF,10.2849,22.7882,80.83,52,80,7.63,broken clouds
261,Veraval,IN,20.9,70.3667,82.06,75,0,10.56,clear sky
262,Teknaf,BD,20.8624,92.3058,77.94,90,16,1.99,few clouds
263,Cairns,AU,-16.9167,145.7667,79.11,86,75,8.05,broken clouds
264,Puerto Cabello,VE,10.4731,-68.0125,77.32,91,100,9.33,overcast clouds
265,Ouesso,CG,1.6136,16.0517,70.83,97,64,2.08,broken clouds
266,Lagoa,PT,39.05,-27.9833,61.12,93,100,14.32,overcast clouds
267,Kismayo,SO,-0.3582,42.5454,81.5,81,100,11.14,light rain
268,Sovetskiy,RU,61.3614,63.5842,31.35,96,100,11.34,light snow
269,Goderich,CA,43.7501,-81.7165,39.9,52,3,14.97,clear sky
270,Manggar,ID,-2.8833,108.2667,79.12,86,65,3.6,broken clouds
271,Bandar-E Lengeh,IR,26.5579,54.8807,85.32,41,100,5.21,overcast clouds
272,Sechura,PE,-5.5569,-80.8222,77.14,63,88,13.62,overcast clouds
273,Imbituba,BR,-28.24,-48.6703,76.86,93,73,11.3,broken clouds
274,Lebowakgomo,ZA,-24.2,29.5,52.7,58,0,2.73,clear sky
275,Guangyuan,CN,32.442,105.823,60.24,82,90,1.81,overcast clouds
276,Buritizeiro,BR,-17.3511,-44.9622,79.25,38,43,3.6,scattered clouds
277,Myrtle Beach,US,33.6891,-78.8867,76.1,39,0,10.36,clear sky
278,Takapau,NZ,-40.0333,176.35,58.73,68,74,3.29,broken clouds
279,Kavaratti,IN,10.5669,72.642,84.18,77,83,5.82,broken clouds
280,Icoana,RO,44.4167,24.7167,49.23,86,35,6.93,scattered clouds
281,Ulundi,ZA,-28.3352,31.4162,55.72,80,0,5.06,clear sky
282,Tabou,CI,4.423,-7.3528,80.78,78,94,3.36,overcast clouds
283,Lasa,IT,46.6166,10.7002,52.68,74,3,3.29,clear sky
